fecha;medio;candidato;partido;orientación;ideología;apoyo
2025-04-16;Super Express;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,34
2025-04-16;Super Express;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,24
2025-04-16;Super Express;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,16
2025-04-16;Super Express;Szymon Hołownia;PL2050;centro;centro democritiano;0,08
2025-04-16;Super Express;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,05
2025-04-16;Super Express;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,04
2025-04-16;Super Express;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,03
2025-04-16;Super Express;Krzysztof Stanowski;sin partido;derecha;populismo;0,03
2025-04-16;IPSOS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,28
2025-04-16;IPSOS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,22
2025-04-16;IPSOS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,15
2025-04-16;IPSOS;Szymon Hołownia;PL2050;centro;centro democritiano;0,07
2025-04-16;IPSOS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,06
2025-04-16;IPSOS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,04
2025-04-16;IPSOS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,04
2025-04-16;IPSOS;Krzysztof Stanowski;sin partido;derecha;populismo;0,03
2025-04-16;Pollster;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,34
2025-04-16;Pollster;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,24
2025-04-16;Pollster;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,16
2025-04-16;Pollster;Szymon Hołownia;PL2050;centro;centro democritiano;0,08
2025-04-16;Pollster;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,05
2025-04-16;Pollster;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,04
2025-04-16;Pollster;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,03
2025-04-16;Pollster;Krzysztof Stanowski;sin partido;derecha;populismo;0,03
2025-04-11;CBOS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,33
2025-04-11;CBOS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,25
2025-04-11;CBOS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,17
2025-04-11;CBOS;Szymon Hołownia;PL2050;centro;centro democritiano;0,04
2025-04-11;CBOS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,05
2025-04-11;CBOS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,03
2025-04-11;CBOS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-04-11;CBOS;Krzysztof Stanowski;sin partido;derecha;populismo;0,01
2025-04-11;Research Partner;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,042
2025-04-11;Research Partner;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,034
2025-04-11;Research Partner;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,348
2025-04-11;Research Partner;Szymon Hołownia;PL2050;centro;centro democritiano;0,067
2025-04-11;Research Partner;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,227
2025-04-11;Research Partner;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,158
2025-04-11;Research Partner;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0
2025-04-11;Research Partner;Krzysztof Stanowski;sin partido;derecha;populismo;0
2025-04-12;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,013
2025-04-12;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,063
2025-04-12;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,335
2025-04-12;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,091
2025-04-12;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,255
2025-04-12;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,134
2025-04-12;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,016
2025-04-12;United Surveys;Krzysztof Stanowski;sin partido;derecha;populismo;0,011
2025-04-09;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,05
2025-04-09;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-04-09;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,33
2025-04-09;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,05
2025-04-09;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,22
2025-04-09;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,15
2025-04-09;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,04
2025-04-09;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,01
2025-04-07;CBOS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,05
2025-04-07;CBOS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-04-07;CBOS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,33
2025-04-07;CBOS;Szymon Hołownia;PL2050;centro;centro democritiano;0,04
2025-04-07;CBOS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,25
2025-04-07;CBOS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,17
2025-04-07;CBOS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,03
2025-04-07;CBOS;Krzysztof Stanowski;sin partido;derecha;populismo;0,01
2025-04-07;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,027
2025-04-07;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,015
2025-04-07;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,315
2025-04-07;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,058
2025-04-07;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,201
2025-04-07;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,147
2025-04-07;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,035
2025-04-07;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,024
2025-04-04;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,018
2025-04-04;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,027
2025-04-04;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,383
2025-04-04;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,071
2025-04-04;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,201
2025-04-04;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,188
2025-04-04;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,011
2025-04-04;United Surveys;Krzysztof Stanowski;sin partido;derecha;populismo;0,016
2025-04-02;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,03
2025-04-02;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,03
2025-04-02;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,36
2025-04-02;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,07
2025-04-02;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,23
2025-04-02;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,15
2025-04-02;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,03
2025-04-04;IBRiS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,021
2025-04-04;IBRiS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,026
2025-04-04;IBRiS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,362
2025-04-04;IBRiS;Szymon Hołownia;PL2050;centro;centro democritiano;0,083
2025-04-04;IBRiS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,226
2025-04-04;IBRiS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,174
2025-04-04;IBRiS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,021
2025-04-04;IBRiS;Krzysztof Stanowski;sin partido;derecha;populismo;0,008
2025-03-31;Pollster;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,04
2025-03-31;Pollster;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,03
2025-03-31;Pollster;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,35
2025-03-31;Pollster;Szymon Hołownia;PL2050;centro;centro democritiano;0,08
2025-03-31;Pollster;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,23
2025-03-31;Pollster;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,19
2025-03-31;Pollster;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,03
2025-03-21;Research Partner;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,022
2025-03-21;Research Partner;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,029
2025-03-21;Research Partner;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,355
2025-03-21;Research Partner;Szymon Hołownia;PL2050;centro;centro democritiano;0,057
2025-03-21;Research Partner;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,222
2025-03-21;Research Partner;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,17
2025-03-21;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,015
2025-03-21;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,044
2025-03-21;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,332
2025-03-21;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,05
2025-03-21;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,253
2025-03-21;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,18
2025-03-21;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,023
2025-03-21;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,023
2025-03-21;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,023
2025-03-21;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,363
2025-03-21;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,046
2025-03-21;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,204
2025-03-21;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,18
2025-03-21;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,019
2025-03-21;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,022
2025-03-13;IBRiS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,025
2025-03-13;IBRiS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,026
2025-03-13;IBRiS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,364
2025-03-13;IBRiS;Szymon Hołownia;PL2050;centro;centro democritiano;0,054
2025-03-13;IBRiS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,259
2025-03-13;IBRiS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,181
2025-03-13;IBRiS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,005
2025-03-13;IBRiS;Krzysztof Stanowski;sin partido;derecha;populismo;0,022
2025-03-11;IPSOS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,03
2025-03-11;IPSOS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-03-11;IPSOS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,36
2025-03-11;IPSOS;Szymon Hołownia;PL2050;centro;centro democritiano;0,06
2025-03-11;IPSOS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,21
2025-03-11;IPSOS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,17
2025-03-11;IPSOS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,02
2025-03-11;IPSOS;Krzysztof Stanowski;sin partido;derecha;populismo;0,02
2025-03-10;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,012
2025-03-10;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,018
2025-03-10;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,32
2025-03-10;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,057
2025-03-10;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,195
2025-03-10;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,189
2025-03-10;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,03
2025-03-10;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,014
2025-03-07;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,031
2025-03-07;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,021
2025-03-07;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,359
2025-03-07;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,036
2025-03-07;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,271
2025-03-07;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,194
2025-03-07;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,011
2025-03-07;United Surveys;Krzysztof Stanowski;sin partido;derecha;populismo;0
2025-03-07;Pollster;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,02
2025-03-07;Pollster;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,03
2025-03-07;Pollster;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,37
2025-03-07;Pollster;Szymon Hołownia;PL2050;centro;centro democritiano;0,08
2025-03-07;Pollster;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,21
2025-03-07;Pollster;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,22
2025-03-07;Pollster;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,03
2025-03-07;Pollster;Krzysztof Stanowski;sin partido;derecha;populismo;0,02
2025-03-03;CBOS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,03
2025-03-03;CBOS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-03-03;CBOS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,35
2025-03-03;CBOS;Szymon Hołownia;PL2050;centro;centro democritiano;0,05
2025-03-03;CBOS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,23
2025-03-03;CBOS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,21
2025-03-03;CBOS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,02
2025-03-03;CBOS;Krzysztof Stanowski;sin partido;derecha;populismo;0,01
2025-03-04;IBRiS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,024
2025-03-04;IBRiS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,053
2025-03-04;IBRiS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,357
2025-03-04;IBRiS;Szymon Hołownia;PL2050;centro;centro democritiano;0,069
2025-03-04;IBRiS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,223
2025-03-04;IBRiS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,15
2025-03-04;IBRiS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,017
2025-03-04;IBRiS;Krzysztof Stanowski;sin partido;derecha;populismo;0,014
2025-02-25;SW Research;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,026
2025-02-25;SW Research;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,018
2025-02-25;SW Research;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,336
2025-02-25;SW Research;Szymon Hołownia;PL2050;centro;centro democritiano;0,079
2025-02-25;SW Research;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,165
2025-02-25;SW Research;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,189
2025-02-25;SW Research;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,029
2025-02-25;SW Research;Krzysztof Stanowski;sin partido;derecha;populismo;0,028
2025-02-21;Research Partner;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,014
2025-02-21;Research Partner;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,03
2025-02-21;Research Partner;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,337
2025-02-21;Research Partner;Szymon Hołownia;PL2050;centro;centro democritiano;0,072
2025-02-21;Research Partner;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,247
2025-02-21;Research Partner;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,168
2025-01-31;IBRiS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,373
2025-01-31;IBRiS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,239
2025-01-31;IBRiS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,089
2025-01-31;IBRiS;Szymon Hołownia;PL2050;centro;centro democritiano;0,068
2025-01-31;IBRiS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,011
2025-01-31;IBRiS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,017
2025-01-31;IBRiS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,05
2025-01-31;IBRiS;Krzysztof Stanowski;sin partido;derecha;populismo;0,03
2025-01-24;Research Partner;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,341
2025-01-24;Research Partner;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,246
2025-01-24;Research Partner;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,131
2025-01-24;Research Partner;Szymon Hołownia;PL2050;centro;centro democritiano;0,083
2025-01-24;Research Partner;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,012
2025-01-24;Research Partner;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0
2025-01-24;Research Partner;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,021
2025-01-24;Research Partner;Krzysztof Stanowski;sin partido;derecha;populismo;0
2025-01-17;IBRiS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,37
2025-01-17;IBRiS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,25
2025-01-17;IBRiS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,089
2025-01-17;IBRiS;Szymon Hołownia;PL2050;centro;centro democritiano;0,064
2025-01-17;IBRiS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,009
2025-01-17;IBRiS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,014
2025-01-17;IBRiS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,042
2025-01-17;IBRiS;Krzysztof Stanowski;sin partido;derecha;populismo;0,025
2025-01-24;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,378
2025-01-24;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,25
2025-01-24;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,097
2025-01-24;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,06
2025-01-24;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,012
2025-01-24;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,02
2025-01-24;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,056
2025-01-24;United Surveys;Krzysztof Stanowski;sin partido;derecha;populismo;0,029
2025-01-14;IPSOS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,32
2025-01-14;IPSOS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,22
2025-01-14;IPSOS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,1
2025-01-14;IPSOS;Szymon Hołownia;PL2050;centro;centro democritiano;0,09
2025-01-14;IPSOS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,02
2025-01-14;IPSOS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0
2025-01-14;IPSOS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-01-14;IPSOS;Krzysztof Stanowski;sin partido;derecha;populismo;0
2025-01-07;CBOS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,35
2025-01-07;CBOS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,31
2025-01-07;CBOS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,12
2025-01-07;CBOS;Szymon Hołownia;PL2050;centro;centro democritiano;0,06
2025-01-07;CBOS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,02
2025-01-07;CBOS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0
2025-01-07;CBOS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,03
2025-01-07;CBOS;Krzysztof Stanowski;sin partido;derecha;populismo;0
2025-01-07;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,342
2025-01-07;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,29
2025-01-07;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,13
2025-01-07;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,067
2025-01-07;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,015
2025-01-07;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0
2025-01-07;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,046
2025-01-07;United Surveys;Krzysztof Stanowski;sin partido;derecha;populismo;0
2025-02-24;IBRiS;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,352
2025-02-24;IBRiS;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,265
2025-02-24;IBRiS;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,157
2025-02-24;IBRiS;Szymon Hołownia;PL2050;centro;centro democritiano;0,06
2025-02-24;IBRiS;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,014
2025-02-24;IBRiS;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,004
2025-02-24;IBRiS;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,033
2025-02-24;IBRiS;Krzysztof Stanowski;sin partido;derecha;populismo;0,005
2025-02-17;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,349
2025-02-17;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,241
2025-02-17;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,136
2025-02-17;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,042
2025-02-17;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,027
2025-02-17;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,021
2025-02-17;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,02
2025-02-17;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,013
2025-02-10;Opinia24;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,0309
2025-02-10;Opinia24;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,217
2025-02-10;Opinia24;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,168
2025-02-10;Opinia24;Szymon Hołownia;PL2050;centro;centro democritiano;0,047
2025-02-10;Opinia24;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,02
2025-02-10;Opinia24;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0
2025-02-10;Opinia24;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,021
2025-02-10;Opinia24;Krzysztof Stanowski;sin partido;derecha;populismo;0,016
2025-02-07;United Surveys;Rafał Trzaskowski;PO (Plataforma Cívica);centro;socioliberalismo;0,367
2025-02-07;United Surveys;Karol Nawrocki;PiS (Ley y Justicia);extrema-derecha;nacionalconservadurismo;0,253
2025-02-07;United Surveys;Sławomir Mentzen;Konfederacja;extrema-derecha;liberalismo conservador;0,098
2025-02-07;United Surveys;Szymon Hołownia;PL2050;centro;centro democritiano;0,066
2025-02-07;United Surveys;Adrian Zandberg;Razem;izquierda;socialdemocracia;0,017
2025-02-07;United Surveys;Grzegorz Braun;KKP;extrema-derecha;monarquismo-nacionalismo;0,015
2025-02-07;United Surveys;Magdalena Biejat;Nowa Lewica;izquierda;socialdemocracia;0,05
2025-02-07;United Surveys;Krzysztof Stanowski;sin partido;derecha;populismo;0
